ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Source,Source_prose
muru1274-1,muru1274,kaɨ  ñai-a-kɨno... baa ua=mei uru-iaɨ=dɨ kaɨ uai-na ebi-rui-ñe-d-e,kaɨ	ñai-a-kɨno...	baa	ua=mei	uru-iaɨ=dɨ	kaɨ	uai-na	ebi-rui-ñe-d-e,1pl	speak-E.NMLZ-CLF:NEWS	ATTENTION	really=so	child-CLF:G.PL=S/A.TOP	1PL	word-N.S/A.TOP	nice-MANNER-NEG-LNK-3,‘The story of our speech... Bah! Children really don’t find our language nice (anymore).’,,,wojtylak17murui[282],
muru1274-2,muru1274,kaɨ jakɨ-rui-tɨ-kaɨ ,kaɨ	jakɨ-rui-tɨ-kaɨ,1PL	scary-MANNER-LNK-1PL,`But we are afraid (of it).’,,,wojtylak17murui[282],
koas1236-1,koas1236,naːsi-sántik maɬátl-ok ómmiːp an-campóːli-k.,naːsi-sántik	maɬátl-ok	ómmiːp	an-campóːli-k.,thing-any	wild-FOC.NOM	be:SUBJUNCTIVE	1SG:DAT.APPL-be.tasty-SAME.SBJ,I find any sort of wild thing tasty.,,,kimball94koasati[37],
movi1243-1,movi1243,jiram-poj-kay=∅ kos akamba,jiram-poj-kay=∅	kos	akamba,pretty-CAUS-INV=1SG	ART.n.a	earth,‘I like the piece of land.’,,,"haude06movima[51,118]",
niva1238-1,niva1238,yi-vooi-julh-’a-m ,yi-vooi-julh-’a-m,3-be.correct-EQUATIVE-2-BEN,`It seems correct to you.',,,fabre16nivacle[344],
taga1270-1,taga1270,n-a-ganda-han=ako sa=kanya.,n-a-ganda-han=ako	sa=kanya.,REALIS-STATIVE-beauty-APPL=1SG.ABS	OBL=3SG.OBL,`She struck me as beautiful/  I found her attractive / I consider her attractive',,,,"Ricardo Ma. Duran Nolasco, p.c."
cebu1242-1,cebu1242,n-a=gwapa-han=ko   niya,n-a=gwapa-han=ko	niya,REALIS-STATIVE=good.looking-APPL=1SG.ABS,`She struck me as good looking/pretty.'  (The evaluation came naturally.),,,tanangkingsing09cebuano[368],
cebu1242-2,cebu1242,gi-gwapa-han=ko niya ,gi-gwapa-han=ko	niya,REALIS-good.looking-APPL=1SG.ABS	3SG.OBL,`I realized that she was indeed good looking/pretty.',,,tanangkingsing09cebuano[368],
cebu1242-3,cebu1242,a-maʔot-an=ko sa=babayi,a-maʔot-an=ko	sa=babayi,REALIS:SPONTANEOUS-ugly-APPL=1SG.ABS	OBL=woman,`I perceive/feel the ugliness of the woman.’ (Subject does not have prior knowledge of ugliness of the woman.),,,tanangkingsing09cebuano[368],
cebu1242-4,cebu1242,gi-maʔot-an=ko sa=babayi ,gi-maʔot-an=ko	sa=babayi,REALIS-ugly-APPL=1SG.ABS	OBL=woman,"‘I am consciously aware of the ugliness of the woman.’ Lit., ‘I really feel that the woman is ugly.’ (Subject is biased against the woman and exerts an effort to emphasize her ugly",,,tanangkingsing09cebuano[368],
ilok1237-1,ilok1237,t<in>agi-pintas-∅=ko   isuna ,t<in>agi-pintas-∅=ko	isuna,<REAL>ESTIM-beautiful-TR=1SG.ERG	3SG.ABS,`I consider/find her to be attractive.',,,rubino00ilocano[588],
wara1300-1,wara1300,na-hú~húsay-an si Pedro ha,na-hú~húsay-an	si	Pedro	ha,REALIS.HAP-INCOMPLETIVE~beauty-APPL	ABS.PERS	Pedro	LOC,‘Pedro considers him/her beautiful.’,,,payne22waray,
kwaz1243-1,kwaz1243,mã'rɛ?a-tay wai-'dy-xa-re ,mã'rɛ?a-tay	wai-'dy-xa-re,spirit-female	good-CAUS-2-INT,‘Do you find Western women good?’,,,"voort04kwaza[360,368]",
kwaz1243-2,kwaz1243,mã'rɛ?a-tay waihỹ-'dy-xa-re,mã'rɛ?a-tay	waihỹ-'dy-xa-re,spirit-female	nice-CAUS-2-INT,Do you find Western women beautiful?’,,,"voort04kwaza[360,368]",
east2556-1,east2556,i=n nu-be̠thä̌ni-ga̠ a zí jä’i,i=n	nu-be̠thä̌ni-ga̠	a	zí	jä’i,IPFV[3]=INFL	see-liar-O:1[sg]PRO	DET.SG	DIM	person,‘That person considers me a liar.’,,,etchegoyen07yuhu[179],
japh1234-1,japh1234,ɲɯ-ta-nɤ-mpɕɤr,ɲɯ-ta-nɤ-mpɕɤr,SENS-1→2-ESTIM-be.beautiful,`I find you beautiful.',,,jacques21grammar[868-874],
west2618-1,west2618,nakuu-gi-ya-a ,nakuu-gi-ya-a,be.good-ESTIM-INDICATIVE.TR-3→3,`He finds it good.',,,lowe01sallirmiut[199],
lako1247-1,lako1247,wašté-wičha-wa-lake,wašté-wičha-wa-lake,good-3PL.O.ANIM-1SG:ACTIVE-ESTIM,`I like them.',,,ullrich08[585],
nucl1301-1,nucl1301,Ben bunu garip-s-iyor-um ,Ben	bunu	garip-s-iyor-um,1SG	DEM:ACC	strange-ESTIM-PRS-1SG,`I find this strange.',,,,
nezp1238-1,nezp1238,tiwelqené·nek-se,tiwelqené·nek-se,enemy-consider-PRS:SG,I consider him an enemy',,,"aoki94nezperce[314,474,768]",
