sand1273,tsa'ámâsú-m̥̀sé-sì̥,giraffe-\textsc{estim}-\textsc{1sg} ,`I thought it was a giraffe.' / `I said ‘giraffe’.',\citet[129]{eaton10sandawe}
sand1273,ʔàː |ʰǐːà ⁿ‖ǒːkó-~̃̏ː-sò hèsó ìòː-m̥̀sé-à ,\textsc{3pl} Dikdik children-\textsc{sp}-\textsc{3a.pl} they mother-\textsc{estim}-\textsc{conn}  ,"`Then Dik-dik’s children thought it was their mother, and...’",\citet[129]{eaton10sandawe}
muru1274,kaɨ  ñai-a-kɨno... baa ua=mei uru-iaɨ=dɨ kaɨ uai-na ebi-rui-ñe-d-e,1pl speak-\textsc{e}.\textsc{nmlz}-\textsc{clf}:\textsc{news}  \textsc{attention}  really=so  child-\textsc{clf}:\textsc{g}.\textsc{pl}=S/A.\textsc{top}  \textsc{1pl}   word-\textsc{n}.S/A.\textsc{top}   nice-\textsc{manner}-\textsc{neg}-\textsc{lnk}-3, ‘The story of our speech... Bah! Children really don’t find our language nice (anymore).’,\citet[282]{wojtylak17murui}
muru1274,kaɨ jakɨ-rui-tɨ-kaɨ ,\textsc{1pl} scary-\textsc{manner}-\textsc{lnk}-\textsc{1pl} ,`But we are afraid (of it).’,\citet[282]{wojtylak17murui}
koas1236,naːsi-sántik maɬátl-ok ómmiːp an-campóːli-k.,thing-any  wild-\textsc{foc}.\textsc{nom} be:\textsc{subjunctive} \textsc{1sg}:\textsc{dat}.\textsc{appl}-be.tasty-\textsc{same}.\textsc{sbj},I find any sort of wild thing tasty.,\citep[37]{kimball94koasati}
movi1243,jiram-poj-kay=$\emptyset$ kos akamba,pretty-\textsc{caus}-\textsc{inv}=\textsc{1sg}   \textsc{art}.n.a earth ,‘I like the piece of land.’  ,\citet[51;118]{haude06movima}
niva1238,yi-vooi-julh-’a-m ,3-be.correct-\textsc{equative}-2-\textsc{ben},`It seems correct to you.'  ,\citep[344]{fabre16nivacle}
taga1270,n-a-ganda-han=ako sa=kanya.,\textsc{realis}-\textsc{stative}-beauty-\textsc{appl}=\textsc{1sg.abs}  \textsc{obl=3sg.obl} ,`She struck me as beautiful/  I found her attractive / I consider her attractive',"Ricardo Ma. Duran Nolasco, p.c."
cebu1242,n-a=gwapa-han=ko   niya,\textsc{realis}-\textsc{stative}=good.looking-\textsc{appl}=\textsc{1sg.abs},`She struck me as good looking/pretty.'  (The evaluation came naturally.),\citet[368]{tanangkingsing09cebuano}
cebu1242,gi-gwapa-han=ko niya ,\textsc{realis}-good.looking-\textsc{appl}=\textsc{1sg.abs}  \textsc{3sg.obl} ,`I realized that she was indeed good looking/pretty.',\citet[368]{tanangkingsing09cebuano}
cebu1242,a-maʔot-an=ko sa=babayi,\textsc{realis}:\textsc{spontaneous}-ugly-\textsc{appl}=\textsc{1sg}.\textsc{abs} \textsc{obl}=woman ,`I perceive/feel the ugliness of the woman.’ (Subject does not have prior knowledge of ugliness of the woman.),\citet[368]{tanangkingsing09cebuano}
cebu1242,gi-maʔot-an=ko sa=babayi ,\textsc{realis}-ugly-\textsc{appl}=\textsc{1sg}.\textsc{abs} \textsc{obl}=woman,"‘I am consciously aware of the ugliness of the woman.’ Lit., ‘I really feel that the woman is ugly.’ (Subject is biased against the woman and exerts an effort to emphasize her ugly",\citet[368]{tanangkingsing09cebuano}
ilok1237,t<in>agi-pintas-$\emptyset$=ko   isuna ,<\textsc{real}>\textsc{estim}-beautiful-\textsc{tr}=\textsc{1sg.erg}  \textsc{3sg.abs},`I consider/find her to be attractive.',\citet[588]{rubino00ilocano}.
wara1247,na-hú\tld{}húsay-an si Pedro ha,\textsc{realis}.\textsc{hap}-\textsc{incompletive}\tld{}beauty-\textsc{appl} \textsc{abs.pers} Pedro \textsc{loc} ,‘Pedro considers him/her beautiful.’ ,\citet{payne22waray}
kwaz1243,mã'rɛ?a-tay wai-'dy-xa-re ,spirit-female good-\textsc{caus}-2-\textsc{int} ,‘Do you find Western women good?’,\citet[360;368]{voort04kwaza}
kwaz1243,mã'rɛ?a-tay waihỹ-'dy-xa-re,spirit-female nice-\textsc{caus}-2-\textsc{int} ,Do you find Western women beautiful?’,\citet[360;368]{voort04kwaza}
east2556,i=n nu-be̠thä̌ni-ga̠ a zí jä’i,\textsc{ipfv}[3]=\textsc{infl} see-liar-O:1[sg]\textsc{}\textsc{pro} \textsc{det}.\textsc{sg} \textsc{dim} person,‘That person considers me a liar.’,\citep[179]{etchegoyen07yuhu} 
japh1234,ɲɯ-ta-nɤ-mpɕɤr,\textsc{sens}-1$\rightarrow$2-\textsc{estim}-be.beautiful,`I find you beautiful.' ,\citet[868-874]{jacques21grammar}
west2618,nakuu-gi-ya-a ,be.good-\textsc{estim}-\textsc{indicative}.\textsc{tr}-3$\rightarrow$3,`He finds it good.',\citep[199]{lowe01sallirmiut}
lako1247,wašté-wičha-wa-lake,good-\textsc{3pl}.O.\textsc{anim}-\textsc{1sg:active}-\textsc{estim},`I like them.' ,\citep[585]{ullrich08}
nucl1301,Ben bunu garip-s-iyor-um ,\textsc{1sg} \textsc{dem}:\textsc{acc} strange-\textsc{estim}-\textsc{prs}-\textsc{1sg} ,`I find this strange.' ,
nezp1238,tiwelqené·nek-se,enemy-consider-\textsc{prs:sg},I consider him an enemy',\citet[314;474;768]{aoki94nezperce}
